Rxn name	Rxn description	Formula	Gene-reaction association	Reversible	LB	UB	Objective
r_0006	1,6-beta-glucan synthase	s_1543[c]  -> s_0004[ce] + s_0794[c] + s_1538[c] 	(YGR143W OR YPR159W)	0	  0.00	   Inf	  0.00
r_0026	2-keto-4-methylthiobutyrate transamination	s_0294[c] + s_0991[c]  -> s_0180[c] + s_1029[c] 		0	  0.00	   Inf	  0.00
r_0043	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	s_0215[c] + 0.5 s_1275[c]  -> s_0212[c] 		0	  0.00	   Inf	  0.00
r_0044	3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	s_0214[m] + s_0799[m]  -> s_0157[m] + s_0460[m] 		0	  0.00	   Inf	  0.00
r_0070	4-hydroxybenzoate formation	s_0290[m] + s_0807[m]  -> s_0287[m] + s_0532[m] + s_0799[m] 		0	  0.00	   Inf	  0.00
r_0076	5'-nucleotidase (CMP)	s_0526[c] + s_0803[c]  -> s_0543[c] + s_1322[c] 	(YER037W OR YGL224C)	0	  0.00	   Inf	  0.00
r_0078	5'-nucleotidase (UMP)	s_0803[c] + s_1545[c]  -> s_1322[c] + s_1556[c] 	(YER037W OR YGL224C)	0	  0.00	   Inf	  0.00
r_0086	5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase	s_1423[c]  -> s_0311[c] + s_0803[c] 		0	  0.00	   Inf	  0.00
r_0087	5-methylthioribose-1-phosphate isomerase	s_1422[c]  -> s_1423[c] 		0	  0.00	   Inf	  0.00
r_0094	8-amino-7-oxononanoate synthase	s_0955[c] + s_1368[c]  -> s_0352[c] + s_0456[c] + s_0529[c] + 4 s_0794[c] 		0	  0.00	   Inf	  0.00
r_0099	acetyl-CoA ACP transacylase	s_0376[m] + s_1845[m]  -> s_0372[m] + s_0532[m] 	YKL192C	0	  0.00	   Inf	  0.00
r_0200	Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)	s_0418[c] + s_0803[c] + s_1275[c]  -> s_0419[c] + s_0837[c] + s_1151[c] 		0	  0.00	   Inf	  0.00
r_0461	geranylgeranyltranstransferase	s_0189[c] + s_0943[c]  -> s_0633[c] + s_1311[c] 		0	  0.00	   Inf	  0.00
r_0465	glucosamine-6-phosphate deaminase	s_0412[c] + s_0803[c]  -> s_0419[c] + s_0557[c] 		0	  0.00	   Inf	  0.00
r_0475	glutaminase	s_0803[c] + s_0999[c]  -> s_0419[c] + s_0991[c] 		0	  0.00	   Inf	  0.00
r_0484	glutathione peroxidase, mitochondria	2 s_0752[m] + s_0838[m]  -> s_0756[m] + 2 s_0807[m] 	YPL059W	0	  0.00	   Inf	  0.00
r_0500	glycine C-acetyltransferase	s_0529[c] + s_0952[c]  -> s_0373[c] + s_1003[c] 		0	  0.00	   Inf	  0.00
r_0695	L-tyrosine N-formyltransferase	s_0120[c] + s_1051[c]  -> s_0794[c] + s_1196[c] + s_1487[c] 	YDR403W	0	  0.00	   Inf	  0.00
r_0696	lactaldehyde dehydrogenase	s_0062[c] + s_0803[c] + s_1198[c]  -> s_0063[c] + 2 s_0794[c] + s_1203[c] 		0	  0.00	   Inf	  0.00
r_0906	phosphopantothenoylcysteine decarboxylase	s_0794[c] + s_1188[c]  -> s_0456[c] + s_1307[c] 	((YKL088W AND YKR072C AND YOR054C) OR (YKL088W AND YKR072C) OR (YKL088W AND YOR054C) OR YKL088W)	0	  0.00	   Inf	  0.00
r_0970	ribonucleoside-triphosphate reductase (ATP)	s_0434[c] + s_1616[c]  -> s_0586[c] + s_0803[c] + s_1620[c] 	YGR209C	0	  0.00	   Inf	  0.00
r_0971	ribonucleoside-triphosphate reductase (CTP)	s_0539[c] + s_1616[c]  -> s_0590[c] + s_0803[c] + s_1620[c] 	YGR209C	0	  0.00	   Inf	  0.00
r_0972	ribonucleoside-triphosphate reductase (GTP)	s_0785[c] + s_1616[c]  -> s_0617[c] + s_0803[c] + s_1620[c] 	YGR209C	0	  0.00	   Inf	  0.00
r_0973	ribonucleoside-triphosphate reductase (UTP)	s_1559[c] + s_1616[c]  -> s_0656[c] + s_0803[c] + s_1620[c] 	YGR209C	0	  0.00	   Inf	  0.00
r_0992	serine O-acetyltransferase	s_0373[c] + s_1039[c]  -> s_0529[c] + s_1234[c] 		0	  0.00	   Inf	  0.00
r_1008	spontaneous cis-aconitate(3-) to trans-aconitate	s_0517[m]  -> s_1504[m] 		0	  0.00	   Inf	  0.00
r_1009	spontaneous cis-aconitate(3-) to trans-aconitate	s_0516[c]  -> s_1503[c] 		0	  0.00	   Inf	  0.00
r_1619	5'-nucleotidase (GMP)	s_0782[c] + s_0803[c]  -> s_0790[c] + s_1322[c] 	YER037W	0	  0.00	   Inf	  0.00
r_2113	spontaneous kynurenic acid to quinaldic acid	s_2763[c]  -> s_2764[c] 		0	  0.00	   Inf	  0.00
r_2114	spontaneous 2-amino-3-carboxymuconate-6-semialdehyde to quinolinate	s_0147[c]  -> s_0803[c] + s_1403[c] 		0	  0.00	   Inf	  0.00
r_2213	fatty-acid--CoA ligase (behenate), ER membrane	s_2785[erm] + s_2831[erm] + s_2868[erm]  -> s_2795[erm] + s_2833[erm] + s_2834[erm] 	YBR041W	0	  0.00	   Inf	  0.00
r_2214	fatty-acid--CoA ligase (lignoceric acid), ER membrane	s_2785[erm] + s_2831[erm] + s_2869[erm]  -> s_2797[erm] + s_2833[erm] + s_2834[erm] 	YBR041W	0	  0.00	   Inf	  0.00
r_2215	fatty-acid--CoA ligase (cerotic acid), ER membrane	s_2785[erm] + s_2831[erm] + s_2870[erm]  -> s_2816[erm] + s_2833[erm] + s_2834[erm] 	YBR041W	0	  0.00	   Inf	  0.00
r_2216	fatty-acid--CoA ligase (behenate), lipid particle	s_0531[lp] + s_2840[lp] + s_2871[lp]  -> s_0635[lp] + s_2842[lp] + s_2872[lp] 	YBR041W	0	  0.00	   Inf	  0.00
r_2217	fatty-acid--CoA ligase (lignoceric acid), lipid particle	s_0531[lp] + s_2840[lp] + s_2873[lp]  -> s_0635[lp] + s_2842[lp] + s_2874[lp] 	YBR041W	0	  0.00	   Inf	  0.00
r_2218	fatty-acid--CoA ligase (cerotic acid), lipid particle	s_0531[lp] + s_2840[lp] + s_2875[lp]  -> s_0635[lp] + s_2842[lp] + s_2876[lp] 	YBR041W	0	  0.00	   Inf	  0.00
r_3240	lysoPA phosphatase (16:0), cytoplasm	s_0803[c] + s_3632[c]  -> s_1322[c] + s_3633[c] 	YER037W	0	  0.00	   Inf	  0.00
r_3241	lysoPA phosphatase (16:1), cytoplasm	s_0803[c] + s_3634[c]  -> s_1322[c] + s_3635[c] 	YER037W	0	  0.00	   Inf	  0.00
r_3242	lysoPA phosphatase (18:0), cytoplasm	s_0803[c] + s_3636[c]  -> s_1322[c] + s_3637[c] 	YER037W	0	  0.00	   Inf	  0.00
r_3243	lysoPA phosphatase (18:1), cytoplasm	s_0803[c] + s_3638[c]  -> s_1322[c] + s_3639[c] 	YER037W	0	  0.00	   Inf	  0.00
r_0964	reduced glutathione via ABC system	s_0434[c] + s_0750[c] + s_0803[c]  -> s_0394[c] + s_0753[v] + s_0794[c] + s_1322[c] 	YDR135C	0	  0.00	   Inf	  0.00
r_1028	taurcholate via ABC system	s_0434[c] + s_0803[c] + s_1473[c]  -> s_0394[c] + s_0794[c] + s_1322[c] + s_1474[v] 	YLL048C	0	  0.00	   Inf	  0.00
r_1096	(R)-mevalonate transport	s_0029[e]  -> s_0028[c] 		0	  0.00	   Inf	  0.00
r_1097	(R,R)-butanediol transport	s_0035[c]  -> s_0036[e] 		0	  0.00	   Inf	  0.00
r_1098	2-methylbutyl transport	s_0172[c]  -> s_0173[e] 		0	  0.00	   Inf	  0.00
r_1099	2-oxoadipate and 2-oxoglutarate transport	s_0177[m] + s_0180[c]  -> s_0176[c] + s_0182[m] 	(YOR222W OR YPL134C)	0	  0.00	   Inf	  0.00
r_1100	3-hexaprenyl-4,5-dihydroxybenzoate transport	s_0212[c]  -> s_0213[m] 		0	  0.00	   Inf	  0.00
r_1101	4-aminobutyrate transport	s_0736[e] + s_0796[e]  -> s_0734[c] + s_0794[c] 	(YDL210W OR YOR348C)	0	  0.00	   Inf	  0.00
r_1102	5-aminolevulinate transport	s_0316[e] + s_0796[e]  -> s_0315[c] + s_0794[c] 	YDL210W	0	  0.00	   Inf	  0.00
r_1103	5-formyltetrahydrofolic acid transport	s_0320[e]  -> s_0319[c] 		0	  0.00	   Inf	  0.00
r_1104	8-Amino-7-oxononanoate transport	s_0354[e] + s_0796[e]  -> s_0352[c] + s_0794[c] 	YNR056C	0	  0.00	   Inf	  0.00
r_1106	acetate transport	s_0362[c]  -> s_0364[e] 	YCR010C	0	  0.00	   Inf	  0.00
r_1107	acetic ester transport	s_0685[c]  -> s_0686[e] 		0	  0.00	   Inf	  0.00
r_1108	adenine transport	s_0384[e] + s_0796[e]  -> s_0383[c] + s_0794[c] 	(YER056C OR YER060W OR YER060W_A OR YGL186C)	0	  0.00	   Inf	  0.00
r_1109	adenosine transport	s_0387[e] + s_0796[e]  -> s_0386[c] + s_0794[c] 	YAL022C	0	  0.00	   Inf	  0.00
r_1110	ADP/ATP transporter	s_0394[c] + s_0437[m]  -> s_0397[m] + s_0434[c] 	(YBL030C OR YBR085W OR YMR056C)	0	  0.00	   Inf	  0.00
r_1111	ADP/ATP transporter	s_0399[p] + s_0434[c] + s_0801[p]  -> s_0394[c] + s_0439[p] + s_0794[c] 	YPR128C	0	  0.00	   Inf	  0.00
r_1112	AKG transporter, mitochonrial	s_0180[c] + s_0524[m]  -> s_0182[m] + s_0522[c] 	YMR241W	0	  0.00	   Inf	  0.00
r_1113	allantoate uniport	s_0406[e]  -> s_0405[c] 	YJR152W	0	  0.00	   Inf	  0.00
r_1114	allantoin uniport	s_0408[e]  -> s_0407[c] 	YIR028W	0	  0.00	   Inf	  0.00
r_1115	ammonia transport	s_0420[e]  -> s_0419[c] 	(YDR384C OR YGR121C OR YNL142W OR YPR138C)	0	  0.00	   Inf	  0.00
r_1116	AMP/ATP transporter	s_0426[p] + s_0434[c] + s_0801[p]  -> s_0423[c] + s_0439[p] + s_0794[c] 	YPR128C	0	  0.00	   Inf	  0.00
r_1118	aspartate-glutamate transporter	s_0975[m] + s_0991[c]  -> s_0973[c] + s_0993[m] 	YPR021C	0	  0.00	   Inf	  0.00
r_1119	biotin uptake	s_0452[e] + s_0796[e]  -> s_0451[c] + s_0794[c] 	YGR065C	0	  0.00	   Inf	  0.00
r_1120	carnithine-acetylcarnithine carrier	s_0023[m] + s_1235[c]  -> s_0021[c] + s_1236[m] 	YOR100C	0	  0.00	   Inf	  0.00
r_1121	ceramide-2' (sphinganine:n-C24:0OH) transport	s_0487[er]  -> s_0488[g] 		0	  0.00	   Inf	  0.00
r_1122	ceramide-2' (sphinganine:n-C26:0OH) transport	s_0490[er]  -> s_0491[g] 		0	  0.00	   Inf	  0.00
r_1123	ceramide-3 (Phytosphingosine:n-C24:0OH) transport	s_0493[er]  -> s_0494[g] 		0	  0.00	   Inf	  0.00
r_1124	ceramide-3 (Phytosphingosine:n-C26:0OH) transport	s_0496[er]  -> s_0497[g] 		0	  0.00	   Inf	  0.00
r_1125	choline transport	s_0513[e] + s_0796[e]  -> s_0512[c] + s_0794[c] 	YGL077C	0	  0.00	   Inf	  0.00
r_1126	citrate transport	s_0068[m] + s_0522[c]  -> s_0066[c] + s_0524[m] 	YBR291C	0	  0.00	   Inf	  0.00
r_1127	citrate transport	s_0522[c] + s_1361[m]  -> s_0524[m] + s_1360[c] 	YBR291C	0	  0.00	   Inf	  0.00
r_1128	citrate transport	s_0522[c] + s_0941[m]  -> s_0524[m] + s_0940[c] 	YBR291C	0	  0.00	   Inf	  0.00
r_1129	coenzyme A transport	s_0529[c]  -> s_0532[m] 	YHR002W	0	  0.00	   Inf	  0.00
r_1130	CTP transport	s_0528[m] + s_0539[c] + s_0794[c]  -> s_0526[c] + s_0541[m] + s_0799[m] 	YBR192W	0	  0.00	   Inf	  0.00
r_1131	CTP/CMP antiport	s_0528[m] + s_0539[c] + 2 s_0794[c]  -> s_0526[c] + s_0541[m] + 2 s_0799[m] 	YBR192W	0	  0.00	   Inf	  0.00
r_1132	cytidine transport	s_0544[e] + s_0796[e]  -> s_0543[c] + s_0794[c] 	YAL022C	0	  0.00	   Inf	  0.00
r_1133	cytosine transport	s_0546[e] + s_0796[e]  -> s_0545[c] + s_0794[c] 	(YER056C OR YER060W OR YER060W_A OR YGL186C)	0	  0.00	   Inf	  0.00
r_1134	D-fructose transport	s_0554[e] + s_0796[e]  -> s_0553[c] + s_0794[c] 	(YDL245C OR YDR342C OR YDR343C OR YDR345C OR YEL069C OR YFL011W OR YHR092C OR YHR094C OR YHR096C OR YJL214W OR YJL219W OR YJR158W OR YMR011W OR YNR072W OR YOL156W)	0	  0.00	   Inf	  0.00
r_1135	D-galactose transport	s_0559[e] + s_0796[e]  -> s_0558[c] + s_0794[c] 	(YDR536W OR YFL011W OR YJL219W OR YLR081W OR YNL318C OR YOL156W)	0	  0.00	   Inf	  0.00
r_1136	D-lactate transport	s_0026[e] + s_0796[e]  -> s_0025[c] + s_0794[c] 	YKL217W	0	  0.00	   Inf	  0.00
r_1137	D-lactate transport	s_0025[c] + s_0794[c]  -> s_0027[m] + s_0799[m] 		0	  0.00	   Inf	  0.00
r_1138	D-lactate/pyruvate antiport	s_0025[c] + s_1401[m]  -> s_0027[m] + s_1399[c] 		0	  0.00	   Inf	  0.00
r_1139	D-mannose transport	s_0572[e] + s_0796[e]  -> s_0571[c] + s_0794[c] 	(YDL245C OR YDR342C OR YDR343C OR YDR345C OR YEL069C OR YFL011W OR YHR092C OR YHR094C OR YHR096C OR YJL214W OR YJL219W OR YJR158W OR YMR011W OR YNR072W OR YOL156W)	0	  0.00	   Inf	  0.00
