uniprot,mw,abundance
P0CX81,6649.6,6.54e-05
P23293,74268.4,2.6399999999999998e-05
Q08281,149337.6,8.18e-06
Q04175,108345.9,0.000226
P53277,24811.0,2.62e-05
P06780,23151.7,0.000201
Q06089,17741.2,1.99e-05
P53686,39967.6,6.2e-05
P16550,36475.7,0.000983
O13588,11334.2,9.72e-07
P36525,30079.7,7.2e-05
Q07978,21848.2,1.16e-06
Q02598,11649.9,
P53234,32211.7,1.75e-06
P25607,21114.1,1.22e-06
P52870,8719.3,1.59e-05
Q99369,30414.6,6.480000000000001e-06
P48361,126894.8,2.35e-05
P38693,52683.1,0.000482
P36102,76448.3,2.75e-05
Q02209,41307.3,2.8800000000000002e-05
P40004,39283.6,1.49e-06
P39533,86580.1,0.000315
Q07821,27698.5,2.24e-05
Q12070,11882.4,1.35e-06
P46675,100927.5,3.1899999999999996e-05
Q05518,55008.8,2.8899999999999998e-05
Q08924,114443.0,5.17e-05
P53202,86105.1,4.75e-06
Q8TGP3,3451.1,
P38172,30546.8,8.26e-06
P53169,73079.6,4.18e-05
Q07799,76612.6,8.52e-06
P03069,31300.4,5.21e-06
Q12416,32897.7,1.9699999999999998e-05
P39998,61335.8,4.1899999999999995e-05
P28795,50672.1,1.9699999999999998e-05
P33317,15307.5,6.18e-05
P36521,28528.4,7.709999999999999e-05
P38892,33781.6,4.43e-05
Q12753,76681.4,1.19e-05
P40048,105224.2,9.32e-06
Q07622,69378.3,5.070000000000001e-06
P38232,38751.0,1.51e-06
Q04338,24667.3,6.29e-06
Q99303,49725.0,2.9700000000000004e-06
P38191,16094.7,1.33e-06
P40036,62327.5,4.3700000000000005e-06
P49775,24788.6,2.2899999999999998e-05
A0A023PXL1,22452.8,6.900000000000001e-08
P40164,98008.4,6.87e-05
P0C5N8,6819.2,
P25639,70909.1,2.48e-06
P38309,11842.7,
P41816,44909.8,3.13e-06
P00427,17339.8,0.000408
P52891,83590.5,9.99e-05
P49573,44436.3,5.16e-05
P47065,39835.3,7.3899999999999995e-06
P13586,104554.8,0.000249
P06100,22358.7,2.6600000000000003e-05
P0CY02,4710.5,7e-08
Q3E751,10110.9,
Q00578,95324.8,1.75e-05
P38357,14429.2,1.26e-06
P16861,107957.4,0.001589
P40994,20703.4,0.000221
