(+)-alpha-pinene	CC1=CCC2CC1C2(C)C
(-)-trans-carveol	CC1=CCC(CC1O)C(=C)C
(10Z)-heptadecenoic acid	CCCCCCC=CCCCCCCCCC(=O)O
(11Z)-eicosenoyl-CoA	CCCCCCCCC=CCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(11Z,14Z)-eicosadienoic acid	CCCCCC=CCC=CCCCCCCCCCC(=O)O
(11Z,14Z)-eicosadienoyl-CoA	CCCCCC=CCC=CCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(11Z,14Z,17Z)-eicosatrienoyl-CoA	CCC=CCC=CCC=CCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
(13E)-11alpha-hydroxy-9,15-dioxoprost-13-enoate	CCCCCC(=O)C=CC1C(CC(=O)C1CCCCCCC(=O)O)O
(13Z)-docosenoyl-CoA	CCCCCCCCC=CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(13Z)-eicosenoyl-CoA	CCCCCCC=CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(13Z)-octadecenoic acid	CCCCC=CCCCCCCCCCCCC(=O)O
(13Z,16Z)-docosadienoic acid	CCCCCC=CCC=CCCCCCCCCCCCC(=O)O
(13Z,16Z)-docosadienoyl-CoA	CCCCCC=CCC=CCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(13Z,16Z)-docosadienoylcarnitine	CCCCCC=CCC=CCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
(15Z)-tetracosenoyl-CoA	CCCCCCCCC=CCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(1R)-hydroxy-(2R)-glutathionyl-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(1R,2S)-naphthalene 1,2-oxide	C1=CC=C2C3C(O3)C=CC2=C1
(1S)-hydroxy-(2S)-glutathionyl-1,2-dihydronaphthalene	C1=CC=C2C(C(C=CC2=C1)SCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N)O
(1S,2R)-naphthalene 1,2-oxide	C1=CC=C2C3C(O3)C=CC2=C1
(1aalpha,2beta,3alpha,11calpha)-1a,2,3,11c-tetrahydro-6,11-dimethylbenzo[6,7]phenanthro[3,4-b]oxirene-2,3-diol	CC1=C2C=CC3=C(C2=C(C4=CC=CC=C14)C)C5C(O5)C(C3O)O
(24R)-24,25-dihydroxycalciol	CC(CCC(C(C)(C)O)O)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
(24R,25R)3alpha,7alpha,12alpha,24-tetrahydroxy-5beta-cholestanoyl-CoA	CC(CCC(C(C)C(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O)C4CCC5C4(C(CC6C5C(CC7C6(CCC(C7)O)C)O)O)C
(2E)-decenoyl-CoA	CCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O
(2E)-docosenoyl-CoA	CCCCCCCCCCCCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)([O-])OP(=O)([O-])OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])O
