uniprot,mw,abundance
P31787,10061.0,0.000352
P32316,58712.0,0.00011
Q02336,50569.0,2.34e-05
P53909,39635.0,0.00049
P38113,37648.0,4.15e-05
P47096,20235.0,0.000152
P43547,23919.0,1.3600000000000001e-06
Q99222,102250.0,8.580000000000001e-06
P32323,73354.0,6.01e-06
Q00362,59662.0,9.3e-05
Q02895,39683.0,3.04e-06
P28240,62409.0,0.000547
Q12031,64976.0,4.1200000000000005e-05
P40433,93417.0,1.9e-05
P37898,97663.0,0.000737
P08521,2979.0,4.85e-05
P39970,54592.0,1.26e-06
P19414,85368.0,0.001426
P13711,84042.0,6.17e-06
P53319,53923.0,4.3100000000000004e-05
P47182,32570.0,1.3899999999999998e-06
P12904,36401.0,0.000254
P21192,86634.0,1.05e-05
P47129,35521.0,2e-05
Q07622,69371.0,5.070000000000001e-06
Q03771,42943.0,7.35e-05
P21147,58403.0,7.07e-05
P52910,75492.0,0.002324
P38903,85335.0,3.98e-05
P25612,40911.0,2.4500000000000003e-06
P15891,65576.0,0.00014
Q00955,250353.0,0.00083
P47177,45159.0,4.74e-06
Q07747,36977.0,1.17e-06
Q01802,51795.0,6.659999999999999e-05
P14164,81753.0,7.11e-05
P47146,14204.0,1.4099999999999998e-06
Q12471,45318.0,3.29e-06
Q02486,21562.0,0.000201
P40535,65264.0,2.8100000000000002e-05
P31383,70907.0,0.000368
P38720,53543.0,0.002913
Q08361,15722.0,1.31e-06
Q08641,71486.0,0.000209
P42884,41991.0,1.28e-06
P32357,41688.0,6.28e-05
P23542,46058.0,0.000404
Q01574,79141.0,8.94e-05
P60010,41690.0,0.001218
P00331,36732.0,0.000378
Q04894,39618.0,0.000283
P47143,36372.0,0.000569
P48360,56237.0,2.1899999999999997e-05
P18239,34426.0,0.001011
P32493,59748.0,6.87e-06
P22136,67523.0,2.72e-05
P33304,71364.0,1.42e-06
Q12449,39436.0,0.000238
P03876,98008.0,6.999999999999999e-09
P47015,41461.0,3.3700000000000006e-05
P40507,41631.0,1.66e-05
P43553,96684.0,2.09e-05
Q03233,22110.0,9.73e-05
P25371,117231.0,2.8899999999999998e-05
Q12089,70310.0,1.6800000000000002e-05
P32794,84748.0,3.07e-05
Q08957,47105.0,2.48e-06
P38628,62067.0,0.000242
P40563,74763.0,3.86e-05
P38242,27035.0,8.54e-06
P40350,38347.0,0.000109
Q12001,62783.0,7.2999999999999996e-06
P53868,63777.0,4.55e-05
P47029,117216.0,9.5e-06
P38313,37462.0,1.74e-05
P18238,33313.0,2.3199999999999998e-05
Q05955,57833.0,1.16e-06
P38013,19115.0,0.003903
P53109,65840.0,2.16e-06
P47140,37480.0,1.57e-06
Q08223,45851.0,4.53e-06
P38885,34113.0,5.3200000000000006e-05
P47771,55188.0,3.8799999999999994e-05
P53954,63143.0,3.8700000000000006e-05
P38285,62686.0,2.02e-05
P08019,61463.0,1.18e-06
P32781,9464.0,1.06e-05
P38090,67262.0,1.76e-05
P43548,61052.0,1.29e-06
Q04689,35977.0,1.2700000000000001e-06
P52893,66422.0,0.000108
P47019,19287.0,7.329999999999999e-05
P50076,61793.0,1.69e-06
P54783,59494.0,0.000237
Q01976,26087.0,0.000395
P38872,27884.0,1.47e-06
Q03798,29077.0,3.9200000000000004e-05
Q99299,84846.0,3.08e-06
P40053,72414.0,0.000144
P43636,58047.0,3.74e-05
P00330,36849.0,0.006085
P07246,40370.0,0.00053
P39925,84544.0,5.16e-05
P25376,69671.0,0.000312
Q9ZZX0,42279.0,0.00015528148944099398
P40451,22840.0,4.51e-06
P32858,12936.0,1.12e-06
P39721,27089.0,8e-05
P38080,123989.0,5.0600000000000003e-05
P52892,56770.0,3.66e-05
P40047,56693.0,0.000401
P14540,39621.0,0.021866
P16661,51929.0,4.68e-05
Q08269,95869.0,8.380000000000001e-06
P36117,102540.0,6.81e-06
P39533,86583.0,0.000315
P32463,13943.0,0.000621
P10127,41142.0,7.0300000000000005e-06
P07248,150941.0,9.93e-06
Q12184,18932.0,0.000151
P25613,30726.0,5.76e-06
P22149,77683.0,2.73e-05
Q12482,104304.0,2.12e-06
P40529,32638.0,7.790000000000001e-05
P43567,41907.0,1.9399999999999997e-05
Q12433,63869.0,3.92e-06
P40502,16924.0,3.8599999999999995e-06
P47127,44428.0,3.8e-05
Q08981,23870.0,7.049999999999999e-06
P25377,39348.0,2.5e-05
P04710,34121.0,4.13e-06
Q07732,91812.0,1.5e-06
P53930,25981.0,5.48e-06
P32317,58265.0,4.8299999999999995e-05
Q04412,54494.0,8.35e-06
P38305,14234.0,3.2599999999999997e-06
Q12156,17130.0,5.2799999999999996e-05
P39010,85840.0,5.66e-05
P0CD90,17024.0,1e-06
P46672,42084.0,0.001142
P53629,74023.0,1.77e-05
Q02804,22782.0,2.17e-05
Q04371,54129.0,0.000146
P47117,49542.0,9.640000000000001e-05
Q04516,35764.0,1.23e-06
Q03673,22742.0,2.6300000000000002e-05
Q07716,44383.0,3.29e-05
P46367,56724.0,0.000683
P53730,62672.0,5.68e-05
P40351,67385.0,1.4299999999999999e-06
P32459,21727.0,4.309999999999999e-06
P25335,38714.0,1.3e-06
Q06497,36367.0,3.18e-05
P35181,18152.0,5.36e-05
P19880,72533.0,1.9600000000000002e-05
Q04413,12526.0,1.1399999999999999e-06
P53943,65296.0,8.96e-06
